@relation climate-change-7

@attribute 'Country name' {Aruba,Andorra,Afghanistan,Angola,Albania,'United Arab Emirates',Argentina,Armenia,'American Samoa','Antigua and Barbuda',Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,'Burkina Faso',Bangladesh,Bulgaria,Bahrain,Bahamas,'Bosnia and Herzegovina',Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,'Brunei Darussalam',Bhutan,Botswana,'Central African Republic',Canada,Switzerland,'Channel Islands',Chile,China,'Cote d Ivoire',Cameroon,Congo,'Cook Islands',Colombia,Comoros,'Cape Verde','Costa Rica',Cuba,Curacao,'Cayman Islands',Cyprus,'Czech Republic',Germany,Djibouti,Dominica,Denmark,'Dominican Republic',Algeria,'East Asia & Pacific','Europe & Central Asia',Ecuador,Egypt,'Euro area',Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,'Faeroe Islands',Micronesia,Gabon,'United Kingdom',Georgia,Ghana,Gibraltar,Guinea,Gambia,Guinea-Bissau,'Equatorial Guinea',Greece,Grenada,Greenland,Guatemala,Guam,Guyana,'High income','Hong Kong',Honduras,Croatia,Haiti,Hungary,Indonesia,'Isle of Man',India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,'Kyrgyz Republic',Cambodia,Kiribati,'St. Kitts and Nevis',Korea,Kosovo,Kuwait,'Latin America & Caribbean','Lao PDR',Lebanon,Liberia,Libya,'St. Lucia','Low income',Liechtenstein,'Sri Lanka','Lower middle income','Low & middle income',Lesotho,Lithuania,Luxembourg,Latvia,Macao,'St. Martin (French part)',Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,'Marshall Islands','Middle income',Macedonia,Mali,Malta,Myanmar,'Middle East & North Africa',Montenegro,Mongolia,'Northern Mariana Islands',Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Mayotte,Namibia,'New Caledonia',Niger,Nigeria,Nicaragua,Niue,Netherlands,Norway,Nepal,Nauru,'New Zealand',Oman,Pakistan,Panama,Peru,Philippines,Palau,'Papua New Guinea',Poland,'Puerto Rico',Portugal,Paraguay,'French Polynesia',Qatar,Romania,'Russian Federation',Rwanda,'South Asia','Saudi Arabia',Sudan,Senegal,Singapore,'Small island developing states','Solomon Islands','Sierra Leone','El Salvador','San Marino',Somalia,Serbia,'Sub-Saharan Africa','Sao Tome and Principe',Suriname,'Slovak Republic',Slovenia,Sweden,Swaziland,'Sint Maarten (Dutch part)',Seychelles,'Syrian Arab Republic','Turks and Caicos Islands',Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,'Trinidad and Tobago',Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,'Upper middle income',Uruguay,'United States',Uzbekistan,'St. Vincent and the Grenadines',Venezuela,'Virgin Islands (U.S.)',Vietnam,Vanuatu,'West Bank and Gaza',World,Samoa,Yemen,'South Africa','Dem. Rep. Congo',Zambia,Zimbabwe}
@attribute 'Agricultural land under irrigation (percent of total ag. land)' numeric
@attribute 'Cereal yield (kg per hectare)' numeric
@attribute 'Foreign direct investment net inflows (percent of GDP)' numeric
@attribute 'Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $)' numeric
@attribute 'Energy use per capita (kilograms of oil equivalent)' numeric
@attribute 'CO2 emissions total (KtCO2)' numeric
@attribute 'CO2 emissions per capita (metric tons)' numeric
@attribute 'CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $)' numeric
@attribute 'GHG net emissions/removals by LUCF (MtCO2e)' numeric
@attribute 'Population in urban agglomerations >1million (percent)' numeric
@attribute 'Nationally terrestrial protected areas (percent of total land area)' numeric
@attribute 'Invest. in energy w/ private participation ($)' numeric
@attribute 'Invest. in telecoms w/ private participation ($)' numeric
@attribute 'Invest. in transport w/ private participation ($)' numeric
@attribute 'Invest. in water/sanit. w/ private participation ($)' numeric
@attribute 'Public sector mgmt & institutions avg. (1-6 scale; 6=best)' numeric
@attribute 'Paved roads (percent of total roads)' numeric
@attribute 'GDP ($)' numeric
@attribute 'GNI per capita (Atlas $)' numeric
@attribute 'Ratio of girls to boys in primary & secondary school (percent)' numeric
@attribute 'Primary completion rate total (percent of relevant age group)' numeric
@attribute 'Under-five mortality rate (per 1000)' numeric
@attribute 'Access to improved water source (percent of total pop.)' numeric
@attribute 'Nurses and midwives (per 1000 people)' numeric
@attribute 'Physicians (per 1000 people)' numeric
@attribute 'Malaria incidence rate (per 100000 people)' numeric
@attribute 'Access to improved sanitation (percent of total pop.)' numeric
@attribute 'Child malnutrition underweight (percent of under age 5)' numeric
@attribute 'Population living below $1.25 a day (percent of total)' numeric
@attribute 'Population growth (annual percent)' numeric
@attribute Population numeric
@attribute 'Urban population growth (annual percent)' numeric
@attribute 'Urban population' numeric

@data
Aruba,?,?,?,?,?,2288.208,21.683831,?,?,?,0.10493,?,?,?,?,?,?,?,?,100.179,94.6417,?,100,?,?,?,?,?,?,1.240534,105526,1.368877,49365.0628
Andorra,?,?,?,?,?,539.049,6.527835,?,?,?,6.029112,?,?,?,?,?,?,3712034266.50674,41750,103.437,?,3.9,100,?,?,?,100,?,?,1.447878,82577,0.931892,73427.4684
Afghanistan,5.779478,1418.1,2.551583,?,?,814.074,0.025035,28.479977,?,10.517788,0.433052,?,185000000,?,?,2.2,?,11757405532.5125,290,59.787,?,149.6,48,?,?,2428,37,?,?,2.8313,32517656.318807,4.385285,7817244.579041
Angola,?,729.9,1.994536,114.491899,630.636695,24370.882,1.351088,245.289667,?,23.571341,12.399827,0,327000000,?,?,2.4,?,84178512502.432208,3420,?,?,168.2,50,?,?,21593,57,?,?,2.882927,18037964,4.482962,10227525.588
Albania,9.991533,4081.1,7.392318,89.979548,649.924546,4176.713,1.312855,181.759715,?,?,9.789616,?,64000000,?,?,?,?,12968653524.7799,3820,?,?,19.9,97,?,?,?,98,?,0.62,0.36945,3181397,1.748783,1486348.6784
'United Arab Emirates',?,3000,5.251086,240.509215,9409.651754,155066.429,24.984026,638.58776,?,23.632964,5.619503,?,?,?,?,?,?,261347863149.484992,?,?,?,7.9,100,?,?,?,97,?,?,13.819241,6206623,13.896312,4833717.9924
Argentina,?,3927.1,2.977119,144.833259,1922.760639,192378.154,4.844053,364.881582,?,39.204561,5.425435,717750000,1580000000,331000000,?,?,?,326676673164.78304,7190,105.033,105.40755,14.8,97,?,?,0,90,?,?,0.875629,39714298,1.093257,36537154.16
Armenia,8.872353,2386.4,8.021205,173.330175,973.201147,5548.171,1.801888,320.921963,?,36.004634,7.991345,70000000,186300000,705000000,0,3.7,90.52,11662017844.8868,3340,103.518,?,21.7,96,?,?,0,90,?,1.28,0.15946,3079087,0.034264,1966304.9582
'American Samoa',?,?,?,?,?,?,?,?,?,?,0.313254,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.655196,66217,2.02416,61131.5344
'Antigua and Barbuda',?,1619,14.475733,?,?,447.374,5.149273,274.006432,?,?,7.011341,?,?,?,?,?,?,1203314814.81481,12990,94.358,102.57376,9,?,?,?,?,?,?,?,1.094817,86881,0.832522,26463.9526
Australia,0.443579,1696.5,4.548771,174.897114,6019.067609,399218.956,18.569619,539.580711,69.487799,59.253264,10.502659,?,?,?,?,?,?,1039415095376.829952,41760,97.297,?,5.2,100,?,?,?,100,?,?,2.001429,21498500,2.204475,19077768.9
Austria,?,6809.8,1.592155,110.976015,4016.596045,67725.823,8.123597,224.449847,-17.586508,20.163847,22.922425,?,?,?,?,?,100,414670756948.768,46250,96.734,98.88993,4.5,100,7.84,?,?,100,?,?,0.434411,8336926,0.762525,5599079.5016
Azerbaijan,30.046257,2741.4,0.03194,189.707664,1522.132392,47139.285,5.379109,670.413583,?,21.999977,7.147905,?,474000000,?,?,3.2,?,46258154819.863704,3790,99.015,90.73683,49.8,80,?,?,1,45,?,1.04,2.099854,8763400,2.369864,4549957.28
Burundi,?,1318.3,0.327933,?,?,179.683,0.02262,62.902132,?,?,4.848842,?,0,?,?,2.6,?,1168900171.20255,140,91.321,45.20584,145.3,72,?,?,48475,46,?,?,3.010917,7943385,5.937955,826112.04
Belgium,?,8885.7,27.023236,162.999659,5469.581576,104879.867,9.792729,291.834306,-1.555995,17.54545,0.885071,?,?,?,?,?,78.2,505373713699.784,45080,98.253,86.04568,4.6,100,0.3,2.987,?,100,?,?,0.789977,10709973,0.810521,10427229.7128
Benin,?,1157.1,2.541396,278.256779,392.489451,4066.703,0.486682,345.034744,?,?,23.805451,?,50700000,?,?,3.3,?,6682744914.13769,730,?,65.13789,120.8,75,0.77,0.059,35555,12,?,?,2.956237,8355980,3.931854,3442663.76
'Burkina Faso',?,1039.8,1.894969,?,?,1855.502,0.119592,113.079118,?,10.654318,13.905568,?,108800000,?,?,3.5,?,8045823005.29242,470,84.095,37.99923,179.6,76,0.73,0.064,45322,11,?,?,2.970687,15515258,5.141315,3034784.4648
Bangladesh,?,4102.2,1.269099,141.61157,192.061895,46526.896,0.31982,235.810637,?,13.818027,1.641262,153800000,896000000,?,?,3,?,79554350677.743808,570,108.244,54.4916,53.9,80,?,?,1510,53,?,?,1.051365,145478300,2.835798,39482810.62
Bulgaria,?,4100.8,19.255447,216.09151,2594.208879,50538.594,6.629408,552.214105,-11.565808,15.574649,9.066592,607860000,410800000,?,?,?,?,51824867626.646,5700,97.411,89.93236,13.9,100,4.72,3.635,?,100,?,?,-0.475937,7623395,-0.053103,5420233.845
