Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
Aruba,?,?,?,?,?,2288.208,21.6838314728,?,?,?,0.1049297745,?,?,?,?,?,?,?,?,100.179,94.6417,?,100,?,?,?,?,?,?,1.2405344284,105526,1.368876692,49365.0628
Andorra,?,?,?,?,?,539.049,6.5278346271,?,?,?,6.0291116146,?,?,?,?,?,?,3.71203426650674E9,41750,103.437,?,3.9,100,?,?,?,100,?,?,1.447877605,82577,0.9318921641,73427.4684
Afghanistan,5.7794777104,1418.1,2.5515833333,?,?,814.074,0.0250348301,28.4799769138,?,10.5177875259,0.4330522544,?,1.85E8,?,?,2.2,?,1.17574055325125E10,290,59.787,?,149.6,48,?,?,2428,37,?,?,2.8313,3.25176563188065E7,4.3852846515,7817244.57904108
Angola,?,729.9,1.9945363253,114.4918993696,630.6366949175,24370.882,1.3510882936,245.289667081,?,23.5713409784,12.3998266057,0,3.27E8,?,?,2.4,?,8.41785125024322E10,3420,?,?,168.2,50,?,?,21593,57,?,?,2.8829273741,1.8037964E7,4.4829615088,1.0227525588E7
Albania,9.9915325995,4081.1,7.3923178412,89.9795475488,649.9245457263,4176.713,1.3128550131,181.7597148,?,?,9.7896160228,?,6.4E7,?,?,?,?,1.29686535247799E10,3820,?,?,19.9,97,?,?,?,98,?,0.62,0.3694504429,3181397,1.7487826562,1486348.6784
United Arab Emirates,?,3000,5.251085597,240.5092152232,9409.6517542632,155066.429,24.9840257738,638.5877595566,?,23.632964335,5.6195033128,?,?,?,?,?,?,2.61347863149485E11,?,?,?,7.9,100,?,?,?,97,?,?,13.8192409121,6206623,13.8963122069,4833717.9924
Argentina,?,3927.1,2.9771192034,144.8332586186,1922.7606390021,192378.154,4.8440527389,364.8815816502,?,39.2045605338,5.425434956,7.1775E8,1.58E9,3.31E8,?,?,?,3.26676673164783E11,7190,105.033,105.40755,14.8,97,?,?,0,90,?,?,0.8756293937,3.9714298E7,1.093257336,3.653715416E7
Armenia,8.8723526045,2386.4,8.0212050117,173.3301746989,973.2011469634,5548.171,1.801888352,320.9219633673,?,36.0046338411,7.991345077,7.0E7,1.863E8,7.05E8,0,3.7,90.52,1.16620178448868E10,3340,103.518,?,21.7,96,?,?,0,90,?,1.28,0.1594600151,3079087,0.0342643805,1966304.9582
American Samoa,?,?,?,?,?,?,?,?,?,?,0.3132539919,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.6551955001,66217,2.0241595649,61131.5344
Antigua and Barbuda,?,1619,14.4757331138,?,?,447.374,5.1492731437,274.0064316946,?,?,7.0113406103,?,?,?,?,?,?,1.20331481481481E9,12990,94.358,102.57376,9,?,?,?,?,?,?,?,1.094816972,86881,0.8325217396,26463.9526
Australia,0.4435785357,1696.5,4.5487707742,174.8971135729,6019.0676093681,399218.956,18.5696190897,539.5807107869,69.4877985866,59.2532641812,10.5026586405,?,?,?,?,?,?,1.03941509537683E12,41760,97.297,?,5.2,100,?,?,?,100,?,?,2.0014292368,2.14985E7,2.2044749919,1.90777689E7
Austria,?,6809.8,1.5921545592,110.976014805,4016.596045113,67725.823,8.1235965151,224.4498468356,-17.5865078116,20.1638469623,22.9224248821,?,?,?,?,?,100,4.14670756948768E11,46250,96.734,98.88993,4.5,100,7.84,?,?,100,?,?,0.4344113239,8336926,0.7625249666,5599079.5016
Azerbaijan,30.0462573591,2741.4,0.0319403142,189.7076643037,1522.1323915375,47139.285,5.3791091357,670.4135828437,?,21.9999771778,7.1479053762,?,4.74E8,?,?,3.2,?,4.62581548198637E10,3790,99.015,90.73683,49.8,80,?,?,1,45,?,1.04,2.0998540326,8763400,2.3698638398,4549957.28
Burundi,?,1318.3,0.3279329101,?,?,179.683,0.0226204571,62.9021320072,?,?,4.8488416047,?,0,?,?,2.6,?,1.16890017120255E9,140,91.321,45.20584,145.3,72,?,?,48475,46,?,?,3.0109168719,7943385,5.9379551019,826112.04
Belgium,?,8885.7,27.0232364906,162.9996585723,5469.581575976,104879.867,9.7927293561,291.8343056705,-1.5559946915,17.5454503947,0.885070824,?,?,?,?,?,78.2,5.05373713699784E11,45080,98.253,86.04568,4.6,100,0.3,2.987,?,100,?,?,0.7899768455,1.0709973E7,0.8105212729,1.04272297128E7
Benin,?,1157.1,2.541395635,278.256778591,392.4894506689,4066.703,0.4866817537,345.0347435922,?,?,23.805451263,?,5.07E7,?,?,3.3,?,6.68274491413769E9,730,?,65.13789,120.8,75,0.77,0.059,35555,12,?,?,2.9562369753,8355980,3.9318544698,3442663.76
Burkina Faso,?,1039.8,1.8949687306,?,?,1855.502,0.1195920815,113.0791179082,?,10.654318478,13.9055681382,?,1.088E8,?,?,3.5,?,8.04582300529242E9,470,84.095,37.99923,179.6,76,0.73,0.064,45322,11,?,?,2.9706873262,1.5515258E7,5.1413151843,3034784.4648
Bangladesh,?,4102.2,1.2690986167,141.6115704951,192.0618951418,46526.896,0.3198201794,235.810637205,?,13.8180271559,1.6412621631,1.538E8,8.96E8,?,?,3,?,7.95543506777438E10,570,108.244,54.4916,53.9,80,?,?,1510,53,?,?,1.0513645296,1.454783E8,2.8357984952,3.948281062E7
Bulgaria,?,4100.8,19.2554471023,216.0915101446,2594.2088793772,50538.594,6.6294077639,552.2141052117,-11.5658077086,15.5746488277,9.066592045,6.0786E8,4.108E8,?,?,?,?,5.1824867626646E10,5700,97.411,89.93236,13.9,100,4.72,3.635,?,100,?,?,-0.4759365345,7623395,-0.0531029235,5420233.845
Bahrain,?,?,8.1906914699,369.7971544028,8784.7075000071,22478.71,21.3603057512,899.1739661168,?,?,1.3493605035,?,?,?,?,?,81.4814814815,2.19028925839637E10,18730,101.198,97.83694,10.5,?,3.73,1.442,?,?,?,?,12.82037337,1052359,12.8655711109,931548.1868
Bahamas,?,2067.4,11.7863459216,?,?,2156.196,6.4622356224,263.6153140637,?,?,13.6590924449,?,?,?,?,?,?,7.297903886E9,21660,101.171,94.71387,16.3,?,?,?,?,100,?,?,1.4490338397,333661,1.6882684035,279274.257
Bosnia and Herzegovina,?,4427,5.3067772064,211.7290730611,1583.1479501156,31275.843,8.2868266986,1108.2742679731,?,?,0.5754476189,?,7.77E7,?,?,3.3,?,1.85005991611744E10,4530,101.641,?,8.6,99,?,?,?,95,?,?,-0.1289520194,3774164,1.1011801416,1790463.4016
Belarus,0.5943703039,3554.6,3.5886685343,249.5330457565,2931.1957925432,62815.71,6.5419402208,556.9161475338,-27.1384557933,18.9652259946,7.2679885763,6.25E8,1.13E9,3960000,?,?,?,6.07634831460674E10,5590,?,96.35613,7.2,100,?,4.98,?,93,?,0.1,-1.0360639714,9602000,-0.4626835609,7053629.2
Belize,?,2428,12.4875579222,?,?,425.372,1.3206209252,212.0425093917,?,?,27.9480497397,7.5E7,?,?,?,?,?,1.3587E9,3740,101.05,99.27465,18.2,99,?,?,210,90,?,?,3.346271811,322100,4.3180967579,166525.7
Bermuda,?,?,0.8647146013,?,?,388.702,6.0545482866,?,?,?,5.5689324574,?,?,?,?,?,?,6.067898E9,?,?,?,?,?,?,?,?,?,?,?,0.3125,64200,0.3120127336,64200
Bolivia,?,2016.4,3.0724593592,148.9659501693,621.5358041501,12834.5,1.3343603855,319.8114434793,?,32.5330567265,18.2063961814,2.0E7,6.63E7,?,?,3.3,?,1.66750157711304E10,1490,98.784,98.82139,59,86,?,?,365,25,4.5,?,1.6242816014,9618466,2.3281865736,6307790.0028
